Grid ID,X-Permutation,O-Permutation,Knot Type,tb,r,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal
G1511,"(0, 7, 6, 9, 4, 2, 5, 3, 1, 8)","(6, 5, 2, 3, 1, 8, 0, 7, 9, 4)",m11n84,-11,2,--,--,G1512
G1512,"(0, 8, 9, 6, 5, 2, 7, 4, 1, 3)","(7, 2, 5, 4, 1, 0, 3, 8, 6, 9)",m11n84,-11,2,--,--,G1511
G477,"(0, 4, 3, 1, 2, 9, 5, 7, 6, 8)","(7, 8, 5, 4, 6, 3, 0, 1, 9, 2)",11n86,-7,-2,--,--,G482
G478,"(0, 8, 9, 4, 7, 1, 6, 2, 5, 3)","(5, 1, 2, 0, 3, 4, 8, 7, 9, 6)",11n86,-7,-2,--,--,G480
G479,"(0, 1, 6, 5, 2, 4, 3, 9, 7, 8)","(3, 9, 0, 7, 6, 8, 5, 4, 1, 2)",11n86,-7,-2,--,--,G481
G480,"(0, 7, 6, 3, 4, 2, 8, 9, 1, 5)","(2, 1, 9, 7, 0, 5, 3, 4, 6, 8)",11n86,-7,-2,--,--,G478
G481,"(0, 1, 9, 2, 3, 6, 8, 7, 5, 4)","(5, 7, 3, 4, 0, 1, 2, 9, 8, 6)",11n86,-7,-2,--,--,G479
G482,"(0, 3, 4, 2, 1, 6, 8, 7, 9, 5)","(6, 7, 9, 5, 3, 2, 4, 0, 1, 8)",11n86,-7,-2,--,--,G477
G483,"(0, 2, 5, 4, 8, 6, 7, 3, 9, 1)","(4, 7, 3, 1, 2, 9, 0, 8, 5, 6)",11n86,-7,0,G498,G486,G493
G484,"(0, 2, 9, 1, 5, 4, 6, 3, 7, 8)","(6, 7, 4, 3, 2, 0, 1, 8, 9, 5)",11n86,-7,0,G490,G484,G490
